9/6/2013 - 11:29:43.508
System OS: MAC
User Name: jessifin
Screen Name: King Prince Chambermaid
MAX SAMPLES: 8
OPENGL VENDOR: NVIDIA Corporation
VERSION: 2.1 NVIDIA-8.16.74 310.40.00.10f02
1381073384868 1 0
1381073384885 2 0
1381073384902 3 0
1381073384918 4 0
1381073384935 5 0
1381073384952 6 0
1381073384968 7 0
1381073384985 8 0
1381073385002 9 0
1381073385018 10 0
1381073385035 11 0
1381073385052 12 0
1381073385068 13 0
1381073385085 14 0
1381073385102 15 0
1381073385118 16 0
1381073385135 17 0
1381073385152 18 0
1381073385168 19 0
1381073385185 20 0
1381073385202 21 0
1381073385218 22 0
1381073385235 23 0
1381073385252 24 0
1381073385270 25 0
1381073385285 26 0
1381073385302 27 0
1381073385318 28 0
1381073385335 29 0
1381073385352 30 0
1381073385368 31 0
1381073385385 32 0
1381073385402 33 0
1381073385418 34 0
1381073385435 35 0
1381073385452 36 0
1381073385468 37 0
1381073385485 38 0
1381073385502 39 0
1381073385518 40 0
1381073385535 41 0
1381073385552 42 0
1381073385568 43 0
1381073385585 44 0
1381073385602 45 0
1381073385618 46 0
1381073385635 47 0
1381073385652 48 0
1381073385668 49 0
1381073385685 50 0
1381073385702 51 0
1381073385718 52 0
1381073385735 53 0
1381073385752 54 0
1381073385768 55 0
1381073385785 56 0
1381073385802 57 0
1381073385818 58 0
1381073385835 59 0
1381073385852 60 0
1381073385868 61 0
1381073385885 62 0
1381073385902 63 0
1381073385918 64 0
1381073385935 65 0
1381073385952 66 0
1381073385968 67 0
1381073385985 68 0
1381073386002 69 0
1381073386018 70 0
1381073386035 71 0
1381073386052 72 0
1381073386068 73 0
1381073386085 74 0
1381073386102 75 0
1381073386118 76 0
1381073386135 77 0
1381073386152 78 0
1381073386168 79 0
1381073386185 80 0
1381073386202 81 0
1381073386218 82 0
1381073386235 83 0
1381073386252 84 0
1381073386268 85 0
1381073386285 86 0
1381073386302 87 0
1381073386318 88 0
1381073386335 89 0
1381073386352 90 0
1381073386368 91 0
1381073386385 92 0
1381073386402 93 0
1381073386418 94 0
1381073386435 95 0
1381073386452 96 0
1381073386468 97 0
1381073386485 98 0
1381073386502 99 0
1381073386518 100 0
1381073386535 101 0
1381073386552 102 0
1381073386568 103 0
1381073386585 104 0
1381073386602 105 0
1381073386618 106 0
1381073386635 107 0
1381073386652 108 0
1381073386668 109 0
1381073386685 110 0
1381073386702 111 0
1381073386718 112 0
1381073386735 113 0
1381073386752 114 0
1381073386768 115 0
1381073386785 116 0
1381073386802 117 0
1381073386818 118 0
1381073386835 119 0
1381073386852 120 0
1381073386868 121 0
1381073386885 122 0
1381073386902 123 0
1381073386918 124 0
1381073386935 125 0
1381073386952 126 0
1381073386968 127 0
1381073386985 128 0
1381073387002 129 0
1381073387018 130 0
1381073387035 131 0
1381073387052 132 0
1381073387068 133 0
1381073387085 134 0
1381073387102 135 0
1381073387118 136 0
1381073387135 137 0
1381073387152 138 0
1381073387168 139 0
1381073387185 140 0
1381073387202 141 0
1381073387218 142 0
1381073387235 143 0
1381073387252 144 0
1381073387268 145 0
1381073387285 146 0
1381073387302 147 0
1381073387318 148 0
1381073387335 149 0
1381073387352 150 0
1381073387368 151 0
1381073387385 152 0
1381073387402 153 0
1381073387418 154 0
1381073387435 155 0
1381073387452 156 0
1381073387468 157 0
1381073387485 158 0
1381073387502 159 0
1381073387518 160 0
1381073387535 161 0
1381073387552 162 0
1381073387568 163 0
1381073387585 164 0
1381073387602 165 0
1381073387618 166 0
1381073387635 167 0
1381073387652 168 0
1381073387668 169 0
1381073387685 170 0
1381073387702 171 0
1381073387718 172 0
1381073387735 173 0
1381073387752 174 0
1381073387768 175 0
1381073387785 176 0
1381073387802 177 0
1381073387818 178 0
1381073387835 179 0
1381073387852 180 0
1381073387868 181 0
1381073387885 182 0
1381073387902 183 0
1381073387918 184 0
1381073387935 185 0
1381073387952 186 0
1381073387968 187 0
1381073387985 188 0
1381073388002 189 0
1381073388018 190 0
1381073388035 191 0
1381073388052 192 0
1381073388068 193 0
1381073388085 194 0
1381073388102 195 0
1381073388118 196 0
1381073388135 197 0
1381073388152 198 0
1381073388168 199 0
1381073388185 200 0
1381073388202 201 0
1381073388218 202 0
1381073388235 203 0
1381073388252 204 0
1381073388268 205 0
1381073388285 206 0
1381073388302 207 0
1381073388318 208 0
1381073388335 209 0
1381073388352 210 0
1381073388368 211 0
1381073388385 212 0
1381073388402 213 0
1381073388418 214 0
1381073388435 215 0
1381073388452 216 0
1381073388468 217 0
1381073388485 218 0
1381073388502 219 0
1381073388518 220 0
1381073388535 221 0
1381073388552 222 0
1381073388568 223 0
1381073388585 224 0
1381073388602 225 0
1381073388618 226 0
1381073388635 227 0
1381073388652 228 0
1381073388668 229 0
1381073388685 230 0
1381073388702 231 0
1381073388718 232 0
1381073388735 233 0
1381073388752 234 0
1381073388768 235 0
1381073388785 236 0
1381073388802 237 0
1381073388818 238 0
1381073388835 239 0
1381073388852 240 0
1381073388868 241 0
1381073388885 242 0
1381073388902 243 0
1381073388918 244 0
1381073388935 245 0
1381073388952 246 0
1381073388968 247 0
1381073388985 248 0
1381073389002 249 0
1381073389018 250 0
1381073389035 251 0
1381073389052 252 0
1381073389068 253 0
1381073389085 254 0
1381073389102 255 0
1381073389118 256 0
1381073389135 257 0
1381073389152 258 0
1381073389168 259 0
1381073389185 260 0
1381073389202 261 0
1381073389218 262 0
1381073389235 263 0
1381073389252 264 0
1381073389268 265 0
1381073389285 266 0
1381073389302 267 0
1381073389318 268 0
1381073389335 269 0
1381073389352 270 0
1381073389368 271 0
1381073389385 272 0
1381073389402 273 0
1381073389418 274 0
1381073389435 275 0
1381073389452 276 0
1381073389468 277 0
1381073389485 278 0
1381073389502 279 0
1381073389518 280 0
1381073389535 281 0
1381073389552 282 0
1381073389568 283 0
1381073389585 284 0
1381073389602 285 0
1381073389618 286 0
1381073389635 287 0
1381073389652 288 0
1381073389668 289 0
1381073389685 290 0
1381073389702 291 0
1381073389718 292 0
1381073389735 293 0
1381073389752 294 0
1381073389768 295 0
1381073389785 296 0
1381073389802 297 0
1381073389818 298 0
1381073389835 299 0
1381073389852 300 0
1381073389868 301 0
1381073389885 302 0
1381073389902 303 0
1381073389918 304 0
1381073389935 305 0
1381073389952 306 0
1381073389968 307 0
1381073389985 308 0
1381073390002 309 0
1381073390018 310 0
1381073390035 311 0
1381073390052 312 0
1381073390068 313 0
1381073390085 314 0
1381073390102 315 0
1381073390118 316 0
1381073390135 317 0
1381073390152 318 0
1381073390168 319 0
1381073390185 320 0
1381073390202 321 0
1381073390218 322 0
1381073390235 323 0
1381073390252 324 0
1381073390268 325 0
1381073390285 326 0
1381073390302 327 0
1381073390318 328 0
1381073390335 329 0
1381073390352 330 0
1381073390368 331 0
1381073390385 332 0
1381073390402 333 0
1381073390418 334 0
1381073390435 335 0
1381073390452 336 0
1381073390468 337 0
1381073390485 338 0
1381073390502 339 0
1381073390518 340 0
1381073390535 341 0
1381073390552 342 0
1381073390568 343 0
1381073390585 344 0
1381073390602 345 0
1381073390618 346 0
1381073390635 347 0
1381073390652 348 0
1381073390668 349 0
1381073390685 350 0
1381073390702 351 0
1381073390718 352 0
1381073390735 353 0
1381073390761 354 0
1381073390782 355 0
1381073390798 356 0
1381073390814 357 0
1381073390831 358 0
1381073390848 359 0
1381073390864 360 0
1381073390881 361 0
1381073390898 362 0
1381073390915 363 0
1381073390931 364 0
1381073390948 365 0
1381073390965 366 0
1381073390981 367 0
1381073390998 368 0
1381073391014 369 0
1381073391031 370 0
1381073391048 371 0
1381073391065 372 0
1381073391082 373 0
1381073391098 374 0
1381073391115 375 0
1381073391131 376 0
1381073391148 377 0
1381073391164 378 0
1381073391181 379 0
1381073391198 380 0
1381073391214 381 0
1381073391231 382 0
1381073391248 383 0
